text,label
aku tani indramayu tipu jura janji garap sawah lahan tebu ,negatif
anggota dprd indramayu fraksi demokrat sangka bentrok rebut lahan akibat bentrok tani tewas ,negatif
anggota dprd indramayu fraksi  sangka tewas tani tebu aktivis ham mana ,negatif
anggota dprd indramayu sanksi paw usul interpelasi bupati ,negatif
anggota dprd jabar abdul rozaq muslim sidang adil tipikor bandung kait suap proyek pemkab indramayu,negatif
anggota dprd kabupaten indramayu aku kecewa ketidakhadiran bupati indramayu nina agustina rapat paripurna hak ,negatif
bentrok tewas tani polisi tetap orang sangka polisi tetap sangka bentrok lahan tebu kabupaten indramayu jawa barat salah satu anggota dprd indramayu fraksi demokrat ,negatif
berita kpk sidang jasindo agenda terang saksi kpu periksa dedi mulyadi saksi banprov indramayu,negatif
berkas limpah kpk adil suap proyek indramayu sidang komisi berantas korupsi kpk limpah berkas perkara sangka duga suap atur proyek kabupaten indramayu anggar ,negatif
bupati hadir rapat dprd indramayu warna interupsi,negatif
bupati indramayu hak interpelasi dprd ,negatif
bupati indramayu jembatan timbang losarang indramayu ,negatif
bupati indramayu mangkir interpelasi pkspd hak angket ,negatif
bupati indramayu nina agustina kabupaten indramayu level ppkm masyarakat tenang panik,negatif
bupati nina agustina hak interpelasi dprd indramayu ,negatif
anggota dprd indramayu fraksi demokrat sangka bentrok rebut lahan akibat bentrok tani tewas,negatif
anggota dprd indramayu fraksi sangka tewas tani tebu aktivis ham mana ,negatif
anggota dprd indramayu sanksi paw usul interpelasi bupati ,negatif
anggota dprd jabar abdul rozaq muslim sidang adil tipikor bandung kait suap proyek pemkab indramayu ,negatif
anggota dprd kabupaten indramayu aku kecewa ketidakhadiran bupati indramayu nina agustina rapat paripurna hak ,negatif
angin kencang gelombang landa air utara jawa barat dinas laut ikan kabupaten indramayu ,negatif
bentrok tewas tani polisi tetap orang sangka polisi tetap sangka bentrok lahan tebu kabupaten indramayu jawa barat salah satu anggota dprd indramayu fraksi demokrat,negatif
berkas limpah kpk adil suap proyek indramayu sidang komisi berantas korupsi kpk limpah berkas perkara sangka duga suap atur proyek kabupaten indramayu,negatif
bupati hadir rapat dprd indramayu warna interupsi ,negatif
dprd indramayu aju hak interpelasi bupati indramayu salah isi hubung bupati wabup luckyhakim nilai harmonis ,negatif
vaksinasi lokasi wisata indramayu ,positif
bupati indramayu jawa barat nina agustina tampil bawa tari topeng kelana gandrung pukau ingat pers nasional rumah jabat gubernur sulawesi tenggara kendari senin ,positif
bupati indramayu kunjung kepala sekolah prestasi ,positif
bupati indramayu latih tari topeng kelana gandrung tampil kendari ,positif
bupati indramayu nina agustina da i bachtiar sambut hangat datang badan periksa uang bpk pendopo indramayu selasa ,positif
bupati indramayu nina agustina peran umkm ekonomi kabupaten indramayu samping temu tantang hadap umkm kelas,positif
bupati indramayu nina agustina raih anugerah budaya pwi pusat bupati indramayu nina agustina terima harga anugerah budaya ak satu wartawan indonesia pwi pusat ,positif
bupati indramayu nina agustina raih harga pwi pers nasional  baru agustina,positif
bupati indramayu nina agustina suguh spesial sambut pers nasional tampil bawa tari topeng kelana gandrung ,positif
bupati indramayu nina agustina sumber pad indramayu tuju meminimalisir muat bahaya guna jalan rusak kondisi badan jalan,positif
bupati indramayu nina agustina tampil tari topeng kelana gandrung semarak hpn kendari ,positif
bupati indramayu nina agustina tari tari topeng kelana gandrung acara hpn  baru acara agustina,positif
bupati indramayu nina agustina terima harga anugerah budaya ak satu wartawan indonesia pwi pusat puncak ingat pers nasional hpn rabu,positif
bupati indramayu papar program i ceta dialog budaya hpn ,positif
bupati indramayu raih harga anugerah budaya puncak acara hpn ,positif
bupati indramayu rombong tamu khusus gubernur sultra ,positif
akibat musibah rumah bakar roboh warga cikedung bantu bupati nina agustina ,positif
alhamdulillah selasa november perda pesantren sah kabupaten indramayu politik pkb politik hadir politik tahun dpp pkp,positif
alhamdulillahirobbil alamin perda pesantren kabupaten indramayu resmi sah pesantren sarana didik dakwah kembang sumber daya harap butuh perhati lembaga didik peduli ummat layan rakyat,positif
bkd bagi motor dinas asn ,positif
bupati indramayu elemen aktif tanggulang bencana ,positif
bupati indramayu hadir rapat paripurna dprd jelas sekda ,positif
bupati nina peduli seni budaya indramayu ,positif
bupati nina salur bantu warga rumah bakar roboh ,positif
akibat musibah rumah bakar roboh warga cikedung bantu bupati nina agustina ,positif
Ruyanto sendiri masuk dalam 41 anggota DPRD kabupaten Indramayu yang mengusulkan hak interpelasi kepada eksekutif,positif
Bupati Nina Siap Menjawab Hak Interpelasi DPRD Indramayu,positif
"Setujui Interpelasi Terhadap Bupati, Anggota DPRD Indramayu Disanksi PAW",negatif
Bupati Indramayu Nina Agustina akan menanggapi hak interpelasi Dewan Perwakilan Rakyat Daerah Indramayu pada Jumat,positif
"ketidakharmonisan Bupati dan Wakil Bupati Indramayu, disebut dalam ajuan hak interpelasi DPRD Kabupaten Indramayu",negatif
Rapat Interpelasi DPRD Indramayu Ricuh,negatif
DPRD Indramayu mengajukan hak interpelasi kepada Bupati Indramayu Nina Agustina. Hak bertanya itu terkait pengelola,positif
DEWAN Perwakilan Rakyat Daerah (DPRD) Kabupaten Indramayu setuju menggunakan hak interpelasi kepada Bupati Indramayu,positif
"Keretakan Hubungan Bupati dan Wakil Bupati, Masuk Materi Interpelasi DPRD Indramayu",negatif
"Paripurna DPRD Indramayu Tetapkan Hak Interpelasi, PDIP Walk Out",negatif
"Pertanyakan Tata Kelola Pemerintahan Kabupaten Indramayu, DPRD Ajukan Hak Interpelasi Terhadap Bupati",positif
Rapat paripurna tentang hak interpelasi DPRD Kabupaten Indramayu berlangsung tegang Frkasi PDIP melakukan walkout,negatif
Pengajuan hak interpelasi oleh 41 anggota DPRD Kabupaten Indramayu telah disahkan Pada tahapan jawaban eksekutif,positif
DPRD mengajukan interpelasi untuk menanyakan terkait kabar tidak harmonisnya hubungan antara Bupati Indrmayu Nina,negatif
Dalam paripurna tersebut 41 anggota DPRD Kabupaten Indramayu mengusulkan hak interpelasi untul disahkan dalam rapat,positif
BREAKING NWES  DPRD Indramayu Setujui Hak Interpelasi Bupati ,positif
Musyawarah Rencana Pembangunan (Musrenbang) Tingkat Kecamatan Sliyeg ,positif
Relawan Gaspoll Indramayu Dukung Gus Muhaimin Maju di Pilpres 2024,positif
Para relawan Gaspoll di Kabupaten Indramayu mendeklarasikan dukungan kepada Muhaimin Iskandar atau Gus maju Pilpres,positif
Demi UMKM Naik Kelas Pemkab Indramayu Siapkan Perda Pemerintah Kabupaten Indramayu terus berkomitmen bagaimana,positif
Upaya Pemerintah Kabupaten Indramayu dalam meningkatkan Indeks Pembangunan Masyarakat (IPM) Indramayu ,positif
Bupati mengundang Camat Sliyeg Endang Ismiati beserta 14 Kadesnya dalam kegiatan ramah-tamah sambil makan siang bersama di pendopo kabupaten,positif
Bupati Indramayu Nina Agustina sering kali mengundang para camat beserta para kepala kali ini Jumat,positif
Kunjungan Kerja Deputi Bidang Advokasi Penggerakan dan Informasi (ADPIN) BKKBN RI ke Kabupaten Indramayu diterima oleh Bupati Indramayu Hj Nina Agustina SH MH C R A di Pendopo Kabupaten Indramayu dalam rangka Penguatan TPD dan TPK Bangga Kencana dan Penurunan Stunting,positif
Rapat Koordinasi Pelaksanaan Kegiatan dan Anggaran Desa dalam PPKM Tingkat Desa tahun 2022 dari Dirjen Bina Pemdes Kemendagri ,positif
Konsultasi Perizinan dengan Tanya Dpmptsp Kab Indramayu dapat dilakukan melalui Live Chat (Whatsapp) dan Via Telephone,positif
Di Indramayu Muzani Tegaskan Prabowo Maju 2024 Seluruh Kader Gerindra All Out!,positif
Pimpinan Fraksi Tegaskan Keseriusan Interpelasi,positif
Hubungan eksekutif-legislatif di Indramayu tengah tegang Bila dibiarkan semua ini hanya akan membuat warga Indramayu  jauh dari sejahtera,negatif
Top News Koran Rakyat Merdeka Soal Interpelasi Bupati Indramayu DPRD  Masyarakat Jangan Berpikir Mau MenjatuhkaN,positif
Menurutnya ini merupakan bentuk sinergitas dan penguatan komunikasi yang baik dalam rangka memaksimalkan program unggulan Bupati Indramayu untuk menyelesaikan persoalan yang menimpa masyarakat.,positif
Puluhan ASN di Pemkab Indramayu Dapat Motor Dinas Baru.,positif
Penghargaan ini diserahkan PWI kepada Nina Agustina karena dinilai sangat peduli terhadap kesenian dan kebudayaan,positif
PDI Perjuangan Indramayu Tebar Ribuan Benih Ikan di Embung Desa Telukagung,positif
"Bupati Tak Hadir, Rapat DPRD Indramayu Diwarnai Interupsi",negatif
Pejabat yang didelegasikan oleh Bupati Indramayu yakni Sekretaris daerah (Sekda) Indramayu,negatif
Kegiatan Rapat Paripurna yang dipimpin langsung oleh Kepala Kejaksaan Negeri Indramayu,positif
"Cerita Ketua DPC Gerindra Indramayu, Diajak ke Demokrat dan Golkar Tapi Pilih Gerindra dan Prabowo",positif
Anggota DPRD Kabupaten Indramayu mengaku kecewa atas ketidakhadiran Bupati Indramayu Nina Agustina dalam rapat paripurna,negatif
Menanggapi kabar ketidakharmonisan Bupati dan Wakil Bupati Indramayu,negatif
bupati dan wakilnya jarang berinteraksi dengan warga,negatif
bupati dan wakilnya kurang memerhatikan rakyat indramayu,negatif
perda kurang memperhatikan destinasi wisata indramayu,negatif
wakil indramayu kok jarang terlihat,negatif
bupati dan wakilnya lagi tidak akur,negatif
Anggota DPRD Indramayu Ditangkap Diduga Terlibat Pembantaian Dua Petani Tebu,negatif
anggota dprd kok bisa bunuh petani gak ada otak emang,negatif
perda banyak yang janji palsu,negatif
gimana wisata bisa maju perdanya kurang memperhatikan fasilitas wisata di indramayu,negatif
sudah bosen banget perda banyak yang janji palsu,negatif
akibat lambung kiri alami bocor kapal nelayan air eret wetan camat kandanghaur kabupaten indramayu tenggelam ,negatif
angka cerai kabupaten indramayu kemarin adil agama indramayu catat usia nikah ,negatif
hah indramayu nih ko orang indramayu gatau berita,negatif
sama kakk indramayu msh hujan pas jam setengh ujan nya gde bgt smp sawah yg pagi tdi air nya udh kering udh banjir lgi,negatif
baca berita celaka gini inget indramayu syukur selamat allah yg bawa mobil panik ngeguling nabrak trotoar gue yg istilah body mobil blkg penyok dikit aja skrg rada trauma gimana gala,negatif
 kampung gw indramayu valid sih indramayu isi sawah jarang pohon rimbun,negatif
inget pas indramayu brg  bawa sawah google maps,negatif
boneka ayam jago jayol indramayu mati pasar internasional ,negatif
cekam detik detik usaha evakuasi abk kapal ikan karam air indramayu jawa barat korban seret gelombang angin kencang ,negatif
celaka laut kapal nelayan air eret camat kandanghaur tel korban jiwa perhati bupati indramayu hj nina agustina bupati nina prihatin ,negatif
celaka maut indramayu maju adil ayah korban ,negatif
celaka maut jalan pantura indramayu wanita hamil tewas,negatif
deret janda jawabarat indramayu dominasi angka ,negatif
akibat lambung kiri alami bocor kapal nelayan air eret wetan camat kandanghaur kabupaten indramayu tenggelam,negatif
angka cerai kabupaten indramayu kemarin adil agama indramayu catat usia nikah ,negatif
duga akibat kosleting listrik mesin mobil truk kontainer bakar hebat jalur pantura camat losarang kabupaten indramayu jumat sore ,negatif
geger temu mayat wanita telanjang pesisir pantai cantigi indramayu ,negatif
iis dahlia gugat cerai suami adil agama indramayu cerai pandemi ,negatif
indramayu laku tindak pidana tubuh anak umur  jalan sidang adil negeri pn indramayu rabu,negatif
indramayu tkw indramayu  vonis penjara dagang narkoba adil negeri hongkong vonis jatuh hakim ,negatif
nelayan kabupaten indramayu jawa barat alpandi hilang perahu tumpang bocor tenggelam nelayanhilang ,negatif
nilai kordinasi usul hak interpelasi dprd indramayu ruyanto ancam pecat ,negatif
perahu bocor nelayan indramayu lapor hilang air eret ,negatif
saudara saya indramayu kena oknum adlh mafia tanah bkrja dgn aparat adil polisi,negatif
sidang perdana insiden darah lahan tebu batas kabupaten indramayu majalengka gelar adil negeri kabupaten indramayu ijo,negatif
bpbd indramayu mapping potensi bencana ,positif
bri ambil langkah cepat bantu tanggap bencana masyarakat dampak banjir ,positif
giat rapat kerja laksana kamis januari jumat januari awal sambut wakil ketua adil agama indramayu,positif
giat tertib emis amen anak punk traffic light wilayah indramayu kota data kirim dinas sosial kabupaten indramayu,positif
hai kawanlaut kantor upp kelas iii indramayu dharma wanita ada giat bakti sosial masyarakat desa babad camat sindang kabupaten indramayu ,positif
hati hati ombak laut utara jawa bupati nina pesan nelayan laut ,positif
indramayu denny achmad  laksana giat pantau sidang tipiring kait langgar prokes laku batas giat masyarakat ppkm balai desa jatibarang kab indramayu hadir giat ketua adil negeri indramayu,positif
organisasi wartawan indramayu sepakat tempat gedung eks adil ,positif
rangka jaga hubung silaturahmi sinergitas polres indramayu adil negeri indramayu cipta situasi kamtibmas aman damai kondusif akpol divisihumaspolri ssdm polri multimedia humaspolri humaspolda jabar ,positif
selamat sukses lantik drs h musthofa kamal m h wakil ketua adil agama indramayu moga emban tugas amanah jujur adil selamat adil agama indramayu,positif
dalam kesempatan dandim indramayu juga mengamini agar sama menciptakan rasa aman kondusif baik dilingkungan lapas maupun wilayah indramayu sehingga indramayu bisa lebih baik maju,positif
cerdas handal berpatriolisme yang tinggi dibawah naungan mulia asri indramayu religius maju mandiri sejahtera,positif
selamat ulang tahun kota indramayu semoga semakin maju berkembang,positif
indramayu harus terus maju terus berprestasi,positif
"Desa saya Indramayu sah, tapi Indramayu dipenuhi persawahan dan jarang ada pepohonan yang rimbun",positif
"oh my god, ini stasiun memori yang bagus dari masa lalu ketika liburan sekolah, dr Indramayu selalu ada di sini, kan",positif
"Banyak ndagel di Cirebon, Indramayu, kadang pulang sekolah mau tawuran dengan sekolah lain.",positif
"aktif, disiplin, pancar, amin, punk traffic light, daerah indramayu, kota, kirim data ke dinas sosial kabupaten indramayu",positif
"hektar sawah di Desa Telukagung, Kecamatan Indramayu, Kabupaten Indramayu, petani terlantar enggan memanfaatkan lahan",positif
jadwal samsat keliling cirebon indramayu majalengka dan kuningan juni untuk bayar pajak kendaraan,positif
pada juga pembangunan asrama haji di kabupaten indramayu segera selesai,positif
rencana pemadaman listrik indramayu juni,positif
wika bekerja sama dengan palang merah indonesia pmi untuk menyelenggarakan kegiatan donor darah pada rabu,positif
heboh wanita muda di indramayu melahirkan di tepi jalan persalinan di motor roda,negatif
Aksi massa saat pelaku diamankan polisi untuk dibawa ke Mapolsek Juntinyuat,negatif
FSPP Kabupaten Indramayu dukun Pemerintah Cabut izin Pesantren yang terafiliasi dengan jaringan teroris ,negatif
"Imbas Unjuk Rasa Ricuh di Mapolda Jawa Barat, Polres Indramayu Amankan 20 Anggota GMBI",negatif
"Polres Indramayu Tangkap 20 Anggota GMBI, 5 Orang Positif Narkoba  ",positif
"Berbagai peradaban bercampur mewarnai perkembangan Kota Indramayu. Termasuk Klenteng Indramayu, di Kelurahan Lemahm",positif
"Marak Kendaraan ODOL Melintas di Pantura, Polres Indramayu Gelar Operasi Penertiban",positif
"Kecelakaan terjadi di jalan pantura Kecamatan Losarang, Kabupaten Indramayu. Dua unit truk tronton dari arah Cirebon",negatif
"Jelang Libur Nataru, Bus yang Melintas Jalur Pantura Indramayu Diberhentikan Polisi, Ini yang Dicek",negatif
"Siapa sangka, masyarakat Kabupaten Indramayu tercatat sebagai warga yang paling bahagia se Jawa Barat (Jabar).",positif
"Dikutip dari pikiran-rakyat - Dari 27 kabupaten dan kota di Jabar, Kabupaten Indramayu menempati peringkat pertama IBangga. Ada tiga kriteria indeks yang menjadikan Kabupaten Indramayu mendapat nilai tertinggi.",positif
"Sesosok warga ditemukan meninggal di sawah, warga tersebut berasal dari Kecamatan Cikedung, Kabupaten Indramayu.",negatif
"Dari analisis kebutuhan pangan di Kabupaten Indramayu, setiap tahun membutuhkan pasokan sekitar 23 ribu ton, minyak goreng.",negatif
"Satuan tugas pangan, Kabupaten Indramayu, melakukan inspeksi mendadak, untuk mengecek ketersediaan stok minyak goreng di sejumlah agen.",positif
"Foodbank DPC PKB Indramayu, Jum'at 4 Februari 2021, berbagi Ratusan Paket Sembako kepada Guru ngaji, Anak Yatim Piatu, Jompo, dan Masyarakat yang membutuhkan di blok Cibiuk, Desa Kertawinangun Kec. Kandanghaur Kab. Indramayu.",positif
Bertempat di aula Kantor Kecamatan Kertasemaya dilaksanakan giat rapat persiapan penyaluran Banso dari Baznas Kab Indramayu. Rapat di pimpin Sekcam dan Plt Kasi Kesos diikuti Kasi Pelayanan Desa / Lebe se- Kec Kertasemaya.,positif
"Razia knalpot bising dilakukan Unit Lantas Polsek Kandanghaur, Kabupaten Indramayu. Sejumlah pengendara  diberhentikan petugas. Polsek Kandanghaur Kabupaten Indramayu melakukan razia",positif
Duh Kasus Perceraian di Kabupaten Indramayu Didominasi Pasangan Muda,negatif
Pelatihan Pembuatan Content untuk Medsos P. PKK Desa se Kecamatan Sliyeg ,positif
"Tangani Sampah di Indramayu, Bank Sampah Dibentuk di Tiap Sekolah",positif
"Jumat, 04 Pebruari 2022. Giat Senam Bersama Ibu-Ibu PKK Kecamatan dan Desa se-Kecamatan Juntinyuat",positif
"Terkesan dengan Kendari, Bupati Nina Akan Wujudkan Eco Kuliner di Indramayu ",positif
Gatau kenapa harga makanan di Indramayu tergolong mahal secara UMR Indramayu UMR Kota lainnya tapi rasanya tetep lebih mahalan imy,negatif
"Nyawa 2 Nelayan Indramayu ini Selamat, Terombang-ambing 3 Jam di Tengah Laut Hanya Memegang Drum",positif
Kejaksaan Negeri Indramayu mengadakan kegiatan Penyuluhan dan Penerangan,positif
"BPBD Ungkap Sebab Tanah Tanggul Sungai Cimanuk Indramayu Ambles Lagi, Secepatnya Dilakukan Perbaikan",negatif
" Pers Harus Tangkal Hoax, Ketua DPRD Minta Sajikan Berita Akurat dan Berimbang",positif
"jalan ke indramayu via pantura arah jkt, ada yang minta sumbangan di jalan sampe nutup 1/2 jalan pake bambu, ada ya ",negatif
"Jembatan Penghubung 2 Desa di Indramayu Ambruk, Warga Buat Jembatan Darurat",negatif
blh mnt kurir dc karanganyar indramayu gk Pkt sy gk d krim2 di sana,negatif
Kegiatan Membersihkan Lingkungan Di Desa Sudikampiran Kecamatan Sliyeg,positif
Rapat Koordinasi Secara Virtual Penanganan Sampah Plastik Melalui Pembentukan Bank Sampah Pramuka,positif
Pipa Minyak Bocor Cemari Sawah Warga Indramayu,negatif
Gigihnya Salamun di Indramayu Tanam Mangga Agrimania Buah Mangga Termahal di Indonesia Tembus Eropa  Sekarang sawah itu sudah dialihfungsikan jadi kebun mangga agrimania sejak tahun 2018 dan dikelola khusus oleh warga di sekitaran Perumahan Bumi Patra,positif
Harcules itu Raja sawah di Indramayu,positif
Petani Kelurahan Karanganyar Indramayu Jawa Barat memanfaatkan pembangkit listrik tenaga surya sebagai sumber energi lampu penerangan serta menghidupkan pompa air untuk mengairi sawah dan kebun palawija,positif
