text,label,topik
aku tani indramayu tipu jura janji garap sawah lahan tebu ,negatif,pemerintahan
anggota dprd indramayu fraksi demokrat sangka bentrok rebut lahan akibat bentrok tani tewas ,negatif,pemerintahan
anggota dprd indramayu fraksi  sangka tewas tani tebu aktivis ham mana ,negatif,pemerintahan
anggota dprd indramayu sanksi paw usul interpelasi bupati ,negatif,pemerintahan
anggota dprd jabar abdul rozaq muslim sidang adil tipikor bandung kait suap proyek pemkab indramayu,negatif,pemerintahan
anggota dprd kabupaten indramayu aku kecewa ketidakhadiran bupati indramayu nina agustina rapat paripurna hak ,negatif,pemerintahan
bentrok tewas tani polisi tetap orang sangka polisi tetap sangka bentrok lahan tebu kabupaten indramayu jawa barat salah satu anggota dprd indramayu fraksi demokrat ,negatif,pemerintahan
berita kpk sidang jasindo agenda terang saksi kpu periksa dedi mulyadi saksi banprov indramayu,negatif,pemerintahan
berkas limpah kpk adil suap proyek indramayu sidang komisi berantas korupsi kpk limpah berkas perkara sangka duga suap atur proyek kabupaten indramayu anggar ,negatif,pemerintahan
bupati hadir rapat dprd indramayu warna interupsi,negatif,pemerintahan
bupati indramayu hak interpelasi dprd ,negatif,pemerintahan
bupati indramayu jembatan timbang losarang indramayu ,negatif,pemerintahan
bupati indramayu mangkir interpelasi pkspd hak angket ,negatif,pemerintahan
bupati indramayu nina agustina kabupaten indramayu level ppkm masyarakat tenang panik,negatif,pemerintahan
bupati nina agustina hak interpelasi dprd indramayu ,negatif,pemerintahan
anggota dprd indramayu fraksi demokrat sangka bentrok rebut lahan akibat bentrok tani tewas,negatif,pemerintahan
anggota dprd indramayu fraksi sangka tewas tani tebu aktivis ham mana ,negatif,pemerintahan
anggota dprd indramayu sanksi paw usul interpelasi bupati ,negatif,pemerintahan
anggota dprd jabar abdul rozaq muslim sidang adil tipikor bandung kait suap proyek pemkab indramayu ,negatif,pemerintahan
anggota dprd kabupaten indramayu aku kecewa ketidakhadiran bupati indramayu nina agustina rapat paripurna hak ,negatif,pemerintahan
angin kencang gelombang landa air utara jawa barat dinas laut ikan kabupaten indramayu ,negatif,pemerintahan
bentrok tewas tani polisi tetap orang sangka polisi tetap sangka bentrok lahan tebu kabupaten indramayu jawa barat salah satu anggota dprd indramayu fraksi demokrat,negatif,pemerintahan
berkas limpah kpk adil suap proyek indramayu sidang komisi berantas korupsi kpk limpah berkas perkara sangka duga suap atur proyek kabupaten indramayu,negatif,pemerintahan
bupati hadir rapat dprd indramayu warna interupsi ,negatif,pemerintahan
dprd indramayu aju hak interpelasi bupati indramayu salah isi hubung bupati wabup luckyhakim nilai harmonis ,negatif,pemerintahan
vaksinasi lokasi wisata indramayu ,positif,pemerintahan
bupati indramayu jawa barat nina agustina tampil bawa tari topeng kelana gandrung pukau ingat pers nasional rumah jabat gubernur sulawesi tenggara kendari senin ,positif,pemerintahan
bupati indramayu kunjung kepala sekolah prestasi ,positif,pemerintahan
bupati indramayu latih tari topeng kelana gandrung tampil kendari ,positif,pemerintahan
bupati indramayu nina agustina da i bachtiar sambut hangat datang badan periksa uang bpk pendopo indramayu selasa ,positif,pemerintahan
bupati indramayu nina agustina peran umkm ekonomi kabupaten indramayu samping temu tantang hadap umkm kelas,positif,pemerintahan
bupati indramayu nina agustina raih anugerah budaya pwi pusat bupati indramayu nina agustina terima harga anugerah budaya ak satu wartawan indonesia pwi pusat ,positif,pemerintahan
bupati indramayu nina agustina raih harga pwi pers nasional  baru agustina,positif,pemerintahan
bupati indramayu nina agustina suguh spesial sambut pers nasional tampil bawa tari topeng kelana gandrung ,positif,pemerintahan
bupati indramayu nina agustina sumber pad indramayu tuju meminimalisir muat bahaya guna jalan rusak kondisi badan jalan,positif,pemerintahan
bupati indramayu nina agustina tampil tari topeng kelana gandrung semarak hpn kendari ,positif,pemerintahan
bupati indramayu nina agustina tari tari topeng kelana gandrung acara hpn  baru acara agustina,positif,pemerintahan
bupati indramayu nina agustina terima harga anugerah budaya ak satu wartawan indonesia pwi pusat puncak ingat pers nasional hpn rabu,positif,pemerintahan
bupati indramayu papar program i ceta dialog budaya hpn ,positif,pemerintahan
bupati indramayu raih harga anugerah budaya puncak acara hpn ,positif,pemerintahan
bupati indramayu rombong tamu khusus gubernur sultra ,positif,pemerintahan
akibat musibah rumah bakar roboh warga cikedung bantu bupati nina agustina ,positif,pemerintahan
alhamdulillah selasa november perda pesantren sah kabupaten indramayu politik pkb politik hadir politik tahun dpp pkp,positif,pemerintahan
alhamdulillahirobbil alamin perda pesantren kabupaten indramayu resmi sah pesantren sarana didik dakwah kembang sumber daya harap butuh perhati lembaga didik peduli ummat layan rakyat,positif,pemerintahan
bkd bagi motor dinas asn ,positif,pemerintahan
bupati indramayu elemen aktif tanggulang bencana ,positif,pemerintahan
bupati indramayu hadir rapat paripurna dprd jelas sekda ,positif,pemerintahan
bupati nina peduli seni budaya indramayu ,positif,pemerintahan
bupati nina salur bantu warga rumah bakar roboh ,positif,pemerintahan
akibat musibah rumah bakar roboh warga cikedung bantu bupati nina agustina ,positif,pemerintahan
Ruyanto sendiri masuk dalam 41 anggota DPRD kabupaten Indramayu yang mengusulkan hak interpelasi kepada eksekutif,positif,pemerintahan
Bupati Nina Siap Menjawab Hak Interpelasi DPRD Indramayu,positif,pemerintahan
"Setujui Interpelasi Terhadap Bupati, Anggota DPRD Indramayu Disanksi PAW",negatif,pemerintahan
Bupati Indramayu Nina Agustina akan menanggapi hak interpelasi Dewan Perwakilan Rakyat Daerah Indramayu pada Jumat,positif,pemerintahan
"ketidakharmonisan Bupati dan Wakil Bupati Indramayu, disebut dalam ajuan hak interpelasi DPRD Kabupaten Indramayu",negatif,pemerintahan
Rapat Interpelasi DPRD Indramayu Ricuh,negatif,pemerintahan
DPRD Indramayu mengajukan hak interpelasi kepada Bupati Indramayu Nina Agustina. Hak bertanya itu terkait pengelola,positif,pemerintahan
DEWAN Perwakilan Rakyat Daerah (DPRD) Kabupaten Indramayu setuju menggunakan hak interpelasi kepada Bupati Indramayu,positif,pemerintahan
"Keretakan Hubungan Bupati dan Wakil Bupati, Masuk Materi Interpelasi DPRD Indramayu",negatif,pemerintahan
"Paripurna DPRD Indramayu Tetapkan Hak Interpelasi, PDIP Walk Out",negatif,pemerintahan
"Pertanyakan Tata Kelola Pemerintahan Kabupaten Indramayu, DPRD Ajukan Hak Interpelasi Terhadap Bupati",positif,pemerintahan
Rapat paripurna tentang hak interpelasi DPRD Kabupaten Indramayu berlangsung tegang Frkasi PDIP melakukan walkout,negatif,pemerintahan
Pengajuan hak interpelasi oleh 41 anggota DPRD Kabupaten Indramayu telah disahkan Pada tahapan jawaban eksekutif,positif,pemerintahan
DPRD mengajukan interpelasi untuk menanyakan terkait kabar tidak harmonisnya hubungan antara Bupati Indrmayu Nina,negatif,pemerintahan
Dalam paripurna tersebut 41 anggota DPRD Kabupaten Indramayu mengusulkan hak interpelasi untul disahkan dalam rapat,positif,pemerintahan
BREAKING NWES  DPRD Indramayu Setujui Hak Interpelasi Bupati ,positif,pemerintahan
Musyawarah Rencana Pembangunan (Musrenbang) Tingkat Kecamatan Sliyeg ,positif,pemerintahan
Relawan Gaspoll Indramayu Dukung Gus Muhaimin Maju di Pilpres 2024,positif,pemerintahan
